iter	Passed	Remaining
0	46	46671
1	47	23495
2	47	15765
3	47	11897
4	48	9623
5	48	8072
6	49	6966
7	49	6137
8	49	5488
9	50	4973
10	50	4549
11	50	4197
12	51	3896
13	51	3641
14	52	3420
15	52	3225
16	52	3055
17	53	2901
18	53	2764
19	53	2641
20	54	2529
21	54	2429
22	55	2353
23	55	2267
24	56	2189
25	56	2116
26	56	2049
27	57	1986
28	57	1933
29	58	1878
30	58	1827
31	58	1781
32	59	1736
33	59	1695
34	61	1682
35	61	1643
36	61	1608
37	62	1573
38	62	1540
39	62	1510
40	63	1479
41	63	1451
42	64	1424
43	64	1398
44	64	1374
45	65	1350
46	65	1328
47	65	1306
48	66	1286
49	66	1266
50	66	1246
51	67	1228
52	67	1210
53	68	1193
54	68	1176
55	68	1162
56	69	1146
57	69	1131
58	70	1117
59	70	1103
60	70	1090
61	71	1077
62	71	1064
63	71	1051
64	72	1039
65	72	1028
66	73	1017
67	73	1006
68	73	995
69	74	986
70	74	976
71	75	966
72	75	957
73	75	947
74	76	938
75	76	929
76	76	920
77	77	912
78	77	904
79	77	896
80	78	888
81	78	880
82	78	870
83	79	863
84	79	856
85	79	849
86	80	842
87	80	835
88	80	829
89	81	822
90	81	816
91	82	809
92	82	805
93	82	799
94	83	793
95	83	788
96	84	782
97	84	777
98	84	771
99	85	766
100	85	761
101	85	755
102	86	751
103	86	746
104	86	741
105	87	736
106	87	731
107	88	727
108	88	722
109	88	718
110	89	713
111	89	709
112	89	705
113	90	701
114	90	697
115	90	693
116	91	688
117	91	684
118	91	680
119	92	677
120	92	673
121	92	669
122	93	665
123	93	662
124	94	658
125	94	655
126	94	651
127	95	647
128	95	645
129	95	641
130	96	638
131	96	635
132	96	632
133	97	629
134	97	625
135	98	622
136	98	619
137	98	616
138	99	613
139	99	610
140	99	608
141	100	604
142	100	601
143	100	598
144	101	596
145	101	593
146	101	591
147	102	588
148	102	586
149	102	583
150	103	581
151	103	578
152	104	576
153	104	574
154	104	571
155	105	569
156	105	566
157	105	564
158	106	562
159	106	559
160	106	556
161	107	554
162	107	552
163	107	550
164	108	548
165	108	546
166	109	544
167	109	542
168	109	539
169	110	537
170	110	535
171	110	533
172	111	532
173	111	530
174	112	528
175	113	531
176	113	529
177	114	527
178	114	525
179	114	523
180	115	521
181	115	520
182	116	518
183	116	516
184	116	514
185	117	512
186	117	510
187	117	509
188	118	507
189	118	505
190	118	503
191	119	502
192	119	500
193	120	498
194	120	497
195	120	495
196	121	494
197	121	492
198	122	491
199	122	489
200	122	487
201	123	486
202	123	484
203	123	483
204	124	481
205	124	480
206	124	478
207	125	477
208	125	475
209	126	474
210	126	472
211	126	471
212	127	469
213	127	468
214	127	467
215	128	465
216	128	464
217	129	463
218	129	461
219	129	460
220	130	458
221	130	457
222	130	456
223	131	454
224	131	453
225	131	452
226	132	450
227	132	449
228	133	447
229	133	446
230	133	445
231	134	444
232	134	442
233	134	441
234	135	440
235	135	439
236	135	437
237	136	436
238	136	435
239	137	433
240	137	432
241	137	431
242	138	430
243	138	429
244	138	428
245	139	426
246	139	425
247	139	424
248	140	423
249	140	422
250	141	420
251	141	420
252	141	419
253	142	417
254	142	416
255	143	415
256	143	414
257	143	413
258	144	412
259	144	411
260	144	410
261	145	409
262	145	408
263	145	406
264	146	405
265	146	404
266	147	403
267	147	403
268	147	402
269	148	401
270	148	400
271	149	399
272	149	397
273	149	396
274	150	395
275	150	394
276	150	394
277	151	393
278	151	392
279	152	391
280	152	390
281	152	389
282	153	388
283	153	387
284	154	386
285	154	385
286	154	384
287	155	383
288	155	382
289	155	381
290	156	380
291	156	379
292	156	378
293	157	377
294	157	377
295	158	376
296	158	375
297	158	374
298	159	373
299	159	372
300	159	371
301	160	370
302	160	369
303	161	368
304	161	368
305	161	367
306	162	366
307	162	365
308	162	364
309	163	363
310	163	362
311	164	361
312	164	360
313	164	360
314	165	359
315	165	358
316	165	357
317	166	356
318	166	355
319	167	355
320	167	354
321	167	353
322	168	352
323	168	351
324	168	350
325	169	349
326	169	349
327	170	348
328	170	347
329	170	346
330	171	345
331	171	344
332	171	344
333	172	343
334	172	342
335	172	341
336	173	340
337	173	339
338	174	339
339	174	338
340	174	337
341	175	336
342	175	336
343	175	335
344	176	334
345	176	333
346	176	333
347	177	332
348	177	331
349	178	330
350	178	329
351	178	329
352	179	328
353	179	327
354	179	326
355	180	325
356	180	325
357	180	324
358	181	323
359	181	322
360	182	322
361	182	321
362	182	320
363	183	319
364	183	319
365	183	318
366	184	317
367	184	317
368	185	316
369	185	315
370	185	315
371	186	314
372	186	313
373	186	312
374	187	312
375	187	311
376	188	310
377	188	310
378	188	309
379	189	308
380	189	307
381	189	307
382	190	306
383	190	305
384	191	305
385	191	304
386	191	303
387	192	303
388	192	302
389	192	301
390	193	300
391	193	300
392	193	299
393	194	298
394	194	298
395	195	297
396	195	296
397	195	296
398	196	295
399	196	294
400	196	294
401	197	293
402	197	292
403	197	291
404	198	291
405	198	290
406	199	290
407	199	289
408	199	288
409	200	287
410	200	287
411	200	286
412	201	286
413	201	285
414	202	284
415	202	284
416	202	283
417	203	282
418	203	282
419	203	281
420	204	280
421	204	280
422	204	279
423	205	278
424	205	278
425	206	277
426	206	276
427	206	276
428	207	275
429	207	274
430	207	274
431	208	273
432	208	273
433	208	272
434	209	271
435	209	271
436	209	270
437	210	269
438	210	269
439	211	268
440	211	268
441	211	267
442	212	266
443	212	266
444	212	265
445	213	264
446	213	264
447	214	263
448	214	263
449	214	262
450	215	261
451	215	261
452	215	260
453	216	260
454	216	259
455	217	258
456	217	258
457	217	257
458	218	257
459	218	256
460	218	255
461	219	255
462	219	254
463	219	254
464	220	253
465	220	252
466	221	252
467	221	251
468	221	251
469	222	250
470	222	249
471	222	249
472	223	248
473	223	248
474	224	247
475	224	247
476	224	246
477	225	245
478	225	245
479	225	244
480	226	244
481	226	243
482	226	242
483	227	242
484	227	241
485	228	241
486	228	240
487	228	239
488	229	239
489	229	238
490	229	238
491	230	237
492	230	237
493	230	236
494	231	235
495	231	235
496	231	234
497	232	234
498	232	233
499	233	233
500	233	232
501	233	231
502	234	231
503	234	230
504	234	230
505	235	229
506	235	229
507	235	228
508	236	227
509	236	227
510	237	226
511	237	226
512	237	225
513	238	225
514	238	224
515	238	224
516	239	223
517	239	223
518	240	222
519	240	222
520	240	221
521	241	220
522	241	220
523	242	219
524	242	219
525	242	218
526	243	218
527	243	217
528	243	217
529	244	216
530	244	216
531	244	215
532	245	214
533	245	214
534	245	213
535	246	213
536	246	212
537	247	212
538	247	211
539	247	211
540	248	210
541	248	209
542	248	209
543	249	208
544	249	208
545	249	207
546	250	207
547	250	206
548	251	206
549	251	205
550	251	205
551	252	204
552	252	204
553	253	203
554	253	203
555	253	202
556	254	202
557	254	201
558	254	201
559	255	200
560	255	199
561	255	199
562	256	198
563	256	198
564	256	197
565	257	197
566	257	196
567	258	196
568	258	195
569	258	195
570	259	194
571	259	194
572	259	193
573	260	193
574	260	192
575	261	192
576	261	191
577	261	191
578	262	190
579	262	190
580	262	189
581	263	189
582	263	188
583	264	188
584	264	187
585	264	186
586	265	186
587	265	186
588	265	185
589	266	185
590	266	184
591	267	184
592	267	183
593	267	183
594	268	182
595	268	181
596	268	181
597	269	180
598	269	180
599	269	179
600	270	179
601	270	178
602	271	178
603	271	177
604	271	177
605	272	176
606	272	176
607	272	175
608	273	175
609	273	174
610	273	174
611	274	173
612	274	173
613	275	172
614	275	172
615	275	171
616	276	171
617	276	170
618	276	170
619	277	169
620	277	169
621	277	168
622	278	168
623	278	168
624	279	167
625	279	167
626	280	166
627	280	166
628	280	165
629	281	165
630	281	164
631	282	164
632	282	163
633	282	163
634	283	162
635	283	162
636	283	161
637	284	161
638	284	160
639	284	160
640	285	159
641	285	159
642	286	158
643	286	158
644	286	157
645	287	157
646	287	156
647	287	156
648	288	155
649	288	155
650	289	154
651	289	154
652	289	153
653	290	153
654	290	153
655	290	152
656	291	152
657	291	151
658	291	151
659	292	150
660	292	150
661	293	149
662	293	149
663	293	148
664	294	148
665	294	147
666	294	147
667	295	146
668	295	146
669	296	145
670	297	145
671	297	145
672	297	144
673	298	144
674	298	143
675	299	143
676	299	142
677	299	142
678	300	141
679	300	141
680	300	140
681	301	140
682	301	139
683	302	139
684	302	139
685	302	138
686	303	138
687	303	137
688	303	137
689	304	136
690	304	136
691	304	135
692	305	135
693	305	134
694	306	134
695	306	133
696	306	133
697	307	132
698	307	132
699	307	131
700	308	131
701	308	130
702	308	130
703	309	130
704	309	129
705	309	129
706	310	128
707	310	128
708	311	127
709	311	127
710	311	126
711	312	126
712	312	125
713	312	125
714	313	124
715	313	124
716	313	123
717	314	123
718	314	122
719	315	122
720	315	122
721	315	121
722	316	121
723	316	120
724	316	120
725	317	119
726	317	119
727	317	118
728	318	118
729	318	117
730	319	117
731	319	116
732	319	116
733	320	116
734	320	115
735	320	115
736	321	114
737	321	114
738	321	113
739	322	113
740	322	112
741	323	112
742	323	111
743	323	111
744	324	110
745	324	110
746	324	110
747	325	109
748	325	109
749	326	108
750	326	108
751	326	107
752	327	107
753	327	106
754	327	106
755	328	105
756	328	105
757	328	105
758	329	104
759	329	104
760	330	103
761	330	103
762	330	102
763	331	102
764	331	101
765	331	101
766	332	100
767	332	100
768	333	100
769	333	99
770	333	99
771	334	98
772	334	98
773	334	97
774	335	97
775	335	96
776	336	96
777	336	95
778	336	95
779	337	95
780	337	94
781	337	94
782	338	93
783	338	93
784	338	92
785	339	92
786	339	91
787	339	91
788	340	91
789	340	90
790	341	90
791	341	89
792	341	89
793	342	88
794	342	88
795	342	87
796	343	87
